Gene Symbol,p-value,FDR,Odd ratio,Number of interactions,microRNA 1,microRNA 2,microRNA 3,microRNA 4,microRNA 5,microRNA 6,microRNA 7,microRNA 8,microRNA 9,microRNA 10,microRNA 11,microRNA 12,microRNA 13,microRNA 14,microRNA 15,microRNA 16,microRNA 17,microRNA 18,microRNA 19,microRNA 20,microRNA 21,microRNA 22,microRNA 23,microRNA 24,microRNA 25,microRNA 26,microRNA 27,microRNA 28,microRNA 29,microRNA 30,microRNA 31,microRNA 32,microRNA 33,microRNA 34,microRNA 35,microRNA 36,microRNA 37,microRNA 38,microRNA 39,microRNA 40,microRNA 41,microRNA 42,microRNA 43,microRNA 44,microRNA 45,microRNA 46,microRNA 47,microRNA 48,microRNA 49,microRNA 50,microRNA 51,microRNA 52,microRNA 53,microRNA 54,microRNA 55,microRNA 56,microRNA 57
SASS6,0.479,0.887,0.602,1,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAF4,0.483,0.887,0.853,3,hsa-miR-655-3p,hsa-miR-374c-5p,hsa-miR-369-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAF8,0.479,0.887,0.602,1,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDC4,0.463,0.887,0.903,6,hsa-miR-31-5p,hsa-miR-548an,hsa-miR-548as-3p,hsa-miR-488-3p,hsa-miR-221-5p,hsa-miR-449b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELENBP1,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELENOS,0.463,0.887,0.865,4,hsa-miR-448,hsa-miR-184,hsa-miR-558,hsa-miR-551a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMA7A,0.481,0.887,0.948,10,hsa-miR-580-3p,hsa-miR-519c-3p,hsa-miR-519b-3p,hsa-miR-519a-3p,hsa-miR-519d-3p,hsa-miR-525-5p,hsa-miR-520a-5p,hsa-miR-635,hsa-miR-142-5p,hsa-miR-577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINB3,0.479,0.887,0.602,1,hsa-miR-556-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERPINB4,0.479,0.887,0.602,1,hsa-miR-556-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEZ6L,0.458,0.887,0.752,2,hsa-miR-552-5p,hsa-miR-211-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SF3B4,0.479,0.887,0.602,1,hsa-miR-296-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHISA4,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIN3B,0.483,0.887,0.853,3,hsa-miR-335-5p,hsa-miR-96-5p,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIRT7,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKP2,0.458,0.887,0.752,2,hsa-miR-7-5p,hsa-miR-340-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC16A9,0.469,0.887,0.944,11,hsa-miR-194-5p,hsa-miR-202-3p,hsa-miR-548e-3p,hsa-miR-548ar-3p,hsa-miR-938,hsa-miR-18a-3p,hsa-miR-153-3p,hsa-miR-374b-3p,hsa-miR-545-3p,hsa-miR-548b-3p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC23A1,0.479,0.887,0.903,5,hsa-miR-510-3p,hsa-miR-877-3p,hsa-miR-660-3p,hsa-miR-574-5p,hsa-miR-522-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC24A4,0.477,0.887,0.965,17,hsa-miR-556-5p,hsa-miR-944,hsa-miR-661,hsa-miR-612,hsa-miR-759,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-548as-3p,hsa-miR-616-5p,hsa-miR-339-5p,hsa-miR-510-3p,hsa-miR-18b-3p,hsa-miR-510-5p,hsa-miR-593-5p,hsa-miR-377-5p,hsa-miR-183-5p,hsa-miR-620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC25A19,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC2A13,0.483,0.887,0.853,3,hsa-miR-335-5p,hsa-miR-381-3p,hsa-miR-34b-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC30A9,0.458,0.887,0.752,2,hsa-miR-222-5p,hsa-miR-545-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC4A1AP,0.458,0.887,0.752,2,hsa-miR-377-5p,hsa-miR-583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC6A1,0.458,0.887,0.752,2,hsa-miR-211-3p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLCO5A1,0.463,0.887,0.903,6,hsa-miR-519d-3p,hsa-miR-548az-5p,hsa-miR-548b-3p,hsa-miR-519a-3p,hsa-miR-519b-3p,hsa-miR-519c-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMARCA4,0.458,0.887,0.752,2,hsa-miR-155-5p,hsa-miR-342-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOC2,0.463,0.887,0.865,4,hsa-miR-335-5p,hsa-miR-509-5p,hsa-miR-509-3-5p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNRK,0.463,0.887,0.903,6,hsa-miR-938,hsa-miR-340-5p,hsa-miR-190a-3p,hsa-miR-362-3p,hsa-miR-944,hsa-miR-517-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNRNP27,0.479,0.887,0.903,5,hsa-miR-513a-5p,hsa-miR-31-5p,hsa-miR-944,hsa-miR-548k,hsa-miR-548n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNRPD2,0.479,0.887,0.602,1,hsa-miR-296-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOWAHA,0.479,0.887,0.903,5,hsa-miR-766-3p,hsa-miR-548az-5p,hsa-miR-548n,hsa-miR-939-5p,hsa-miR-149-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP8,0.458,0.887,0.752,2,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPTSSB,0.479,0.887,0.602,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRPRB,0.463,0.887,0.903,6,hsa-miR-424-5p,hsa-miR-488-3p,hsa-miR-548an,hsa-miR-510-3p,hsa-miR-676-5p,hsa-miR-578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRSF3,0.463,0.887,0.865,4,hsa-miR-374a-3p,hsa-miR-622,hsa-miR-877-5p,hsa-miR-612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSH1,0.479,0.887,0.602,1,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STK38L,0.479,0.887,0.602,1,hsa-miR-205-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMN1,0.459,0.887,0.933,10,hsa-miR-9-5p,hsa-miR-132-3p,hsa-miR-769-3p,hsa-miR-450b-3p,hsa-miR-506-5p,hsa-miR-892c-5p,hsa-miR-548az-5p,hsa-miR-548ax,hsa-miR-548ao-5p,hsa-miR-31-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYK1,0.463,0.887,0.865,4,hsa-miR-610,hsa-miR-653-3p,hsa-miR-181b-3p,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUPV3L1,0.479,0.887,0.602,1,hsa-miR-200b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVEP1,0.458,0.887,0.752,2,hsa-miR-20a-3p,hsa-miR-501-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYBU,0.479,0.887,0.602,1,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNPO,0.483,0.887,0.853,3,hsa-miR-339-5p,hsa-miR-330-3p,hsa-miR-574-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZRD1,0.453,0.887,0.95,16,hsa-miR-340-5p,hsa-miR-7-5p,hsa-miR-363-3p,hsa-miR-32-5p,hsa-miR-502-5p,hsa-miR-142-5p,hsa-miR-575,hsa-miR-646,hsa-miR-503-5p,hsa-miR-424-5p,hsa-miR-670-3p,hsa-miR-18a-3p,hsa-miR-577,hsa-miR-605-3p,hsa-miR-625-5p,hsa-miR-637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAF4,0.479,0.887,0.602,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS2R30,0.479,0.887,0.903,5,hsa-miR-539-3p,hsa-miR-190a-3p,hsa-miR-362-3p,hsa-miR-335-3p,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCF12,0.458,0.887,0.752,2,hsa-miR-211-5p,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TESK1,0.479,0.887,0.602,1,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THAP12,0.479,0.887,0.602,1,hsa-miR-7-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIMM10,0.463,0.887,0.953,15,hsa-miR-190a-3p,hsa-miR-362-3p,hsa-miR-653-3p,hsa-miR-516b-3p,hsa-miR-516a-3p,hsa-miR-668-3p,hsa-miR-519e-5p,hsa-miR-186-3p,hsa-miR-520d-3p,hsa-miR-520c-3p,hsa-miR-373-3p,hsa-miR-302e,hsa-miR-302d-3p,hsa-miR-302b-3p,hsa-miR-548e-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM4SF19,0.479,0.887,0.602,1,hsa-miR-203b-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMCC3,0.463,0.887,0.865,4,hsa-miR-335-5p,hsa-miR-605-3p,hsa-miR-548x-3p,hsa-miR-548j-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM158,0.458,0.887,0.752,2,hsa-miR-548e-5p,hsa-miR-496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM25,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMEM57,0.479,0.887,0.602,1,hsa-miR-627-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFRSF11A,0.483,0.887,0.853,3,hsa-miR-503-5p,hsa-miR-552-5p,hsa-miR-590-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TNFSF13,0.479,0.887,0.602,1,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMM34,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMM5,0.479,0.887,0.903,5,hsa-miR-612,hsa-miR-888-3p,hsa-miR-548ba,hsa-miR-548ag,hsa-miR-548m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOP2A,0.483,0.887,0.853,3,hsa-miR-7-5p,hsa-miR-7-2-3p,hsa-miR-7-1-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAM2,0.475,0.887,0.924,7,hsa-miR-122-5p,hsa-miR-7-5p,hsa-miR-30c-2-3p,hsa-miR-30c-1-3p,hsa-miR-424-3p,hsa-miR-363-3p,hsa-miR-32-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM21,0.458,0.887,0.752,2,hsa-miR-876-3p,hsa-miR-759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIM41,0.458,0.887,0.752,2,hsa-miR-210-5p,hsa-miR-628-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSFM,0.479,0.887,0.602,1,hsa-miR-877-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSHZ3,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBA5,0.458,0.887,0.752,2,hsa-miR-215-5p,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBE2L3,0.479,0.887,0.602,1,hsa-miR-122-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBP1,0.479,0.887,0.602,1,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBQLN2,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBR7,0.463,0.887,0.865,4,hsa-miR-454-3p,hsa-miR-569,hsa-miR-624-5p,hsa-miR-188-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCK1,0.463,0.887,0.865,4,hsa-miR-215-5p,hsa-miR-192-5p,hsa-miR-608,hsa-miR-342-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHRF2,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQCR10,0.458,0.887,0.752,2,hsa-miR-339-5p,hsa-miR-548ao-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UQCRC2,0.479,0.887,0.602,1,hsa-miR-192-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USO1,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP19,0.479,0.887,0.602,1,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USP31,0.458,0.887,0.752,2,hsa-miR-7-5p,hsa-miR-574-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTP6,0.461,0.887,0.921,8,hsa-miR-505-5p,hsa-miR-766-3p,hsa-miR-508-5p,hsa-miR-580-3p,hsa-miR-502-5p,hsa-miR-588,hsa-miR-411-5p,hsa-miR-616-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VASN,0.463,0.887,0.865,4,hsa-miR-335-5p,hsa-miR-203b-3p,hsa-miR-34b-5p,hsa-miR-874-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCPKMT,0.458,0.887,0.752,2,hsa-miR-32-5p,hsa-miR-519d-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIL1,0.479,0.887,0.602,1,hsa-miR-522-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSIG2,0.463,0.887,0.865,4,hsa-miR-569,hsa-miR-513b-3p,hsa-miR-624-3p,hsa-miR-660-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASH3P,0.479,0.887,0.602,1,hsa-miR-183-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WBP1L,0.483,0.887,0.853,3,hsa-miR-335-5p,hsa-miR-155-5p,hsa-miR-760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIF1,0.479,0.887,0.602,1,hsa-miR-335-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNT10B,0.458,0.887,0.752,2,hsa-miR-335-5p,hsa-miR-545-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WNT11,0.479,0.887,0.602,1,hsa-miR-190a-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRB,0.479,0.887,0.602,1,hsa-miR-155-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWP1,0.479,0.887,0.602,1,hsa-miR-584-5p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIST,0.479,0.887,0.602,1,hsa-miR-144-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYLB,0.479,0.887,0.602,1,hsa-miR-889-3p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
